SYD,Los Angeles,13–28 Jun,1 stop,24 hrs,"JP¥204,139"
SYD,Hong Kong,21 Jun – 6 Jul,1 stop,17 hrs 35 min,"JP¥225,249"
SYD,London,17 Jun – 3 Jul,2 stops,43 hrs 20 min,"JP¥263,532"
SYD,Vancouver,16–30 Jun,1 stop,34 hrs 55 min,"JP¥251,068"
SYD,San Francisco,17 Jun – 3 Jul,1 stop,21 hrs 45 min,"JP¥178,826"
SYD,Tokyo,6–19 Jun,Non-stop,9 hrs 45 min,"JP¥119,321"
SYD,Amsterdam,3–16 Jun,2 stops,33 hrs 20 min,"JP¥284,481"
SYD,Las Vegas,6–20 Jun,2 stops,29 hrs 3 min,"JP¥253,610"
SYD,Dublin,3–16 Jun,2 stops,44 hrs 20 min,"JP¥287,964"
SYD,New York,24 Jun – 8 Jul,2 stops,31 hrs 9 min,"JP¥248,041"
SYD,Barcelona,22 Jun – 7 Jul,2 stops,34 hrs 10 min,"JP¥362,222"
SYD,Bangkok,13–26 Jun,1 stop,19 hrs 45 min,"JP¥232,742"
SYD,Madrid,24 Jun – 7 Jul,2 stops,34 hrs 30 min,"JP¥299,507"
SYD,Seattle,30 Jun – 13 Jul,1 stop,43 hrs 35 min,"JP¥188,900"
SYD,Paris,6–19 Jun,2 stops,37 hrs 20 min,"JP¥254,633"
SYD,Berlin,3–16 Jun,2 stops,31 hrs,"JP¥287,711"
SYD,Rome,10–24 Jun,2 stops,34 hrs 35 min,"JP¥272,250"
SYD,Lisbon,3–17 Jun,2 stops,33 hrs 55 min,"JP¥323,210"
SYD,Boston,24 Jun – 8 Jul,2 stops,31 hrs 22 min,"JP¥276,391"
SYD,Vienna,9–23 Jun,1 stop,29 hrs 30 min,"JP¥272,210"
SYD,New Delhi,13–28 Jun,1 stop,24 hrs 5 min,"JP¥212,644"
SYD,Venice,17 Jun – 1 Jul,2 stops,33 hrs 25 min,"JP¥271,136"
SYD,Budapest,3–16 Jun,2 stops,34 hrs 50 min,"JP¥312,720"
SYD,Prague,17 Jun – 1 Jul,2 stops,34 hrs 20 min,"JP¥246,958"
SYD,Copenhagen,3–16 Jun,2 stops,33 hrs 10 min,"JP¥277,758"
SYD,San Diego,6–20 Jun,2 stops,29 hrs 2 min,"JP¥253,610"
SYD,Toronto,3–16 Jun,1 stop,43 hrs 20 min,"JP¥655,151"
SYD,İstanbul,15–30 Jun,1 stop,39 hrs 15 min,"JP¥588,285"
SYD,Chicago,20 Jun – 6 Jul,1 stop,35 hrs 50 min,"JP¥282,608"
GMP,Tokyo,20 Jun – 3 Jul,Non-stop,2 hrs 10 min,"JP¥51,856"
GMP,Paris,27 Jun – 10 Jul,1 stop,28 hrs 15 min,"JP¥269,199"
GMP,London,3–17 Jun,1 stop,35 hrs 40 min,"JP¥218,382"
GMP,New York,27 Jun – 11 Jul,1 stop,28 hrs 15 min,"JP¥182,013"
GMP,Singapore,20 Jun – 3 Jul,1 stop,11 hrs 45 min,"JP¥162,147"
GMP,Rome,10–23 Jun,2 stops,22 hrs 40 min,"JP¥265,598"
GMP,San Francisco,17 Jun – 1 Jul,2 stops,24 hrs 55 min,"JP¥145,328"
GMP,Venice,1–14 Jun,2 stops,21 hrs 5 min,"JP¥481,439"
GMP,Los Angeles,17 Jun – 2 Jul,2 stops,19 hrs 20 min,"JP¥155,341"
GMP,Barcelona,27 Jun – 10 Jul,2 stops,34 hrs 10 min,"JP¥281,423"
GMP,Amsterdam,13–26 Jun,2 stops,21 hrs 35 min,"JP¥290,780"
GMP,Chicago,30 Jun – 15 Jul,1 stop,39 hrs,"JP¥186,765"
GMP,"Washington, D.C.",23 Jun – 9 Jul,1 stop,39 hrs 55 min,"JP¥175,478"
GMP,Hong Kong,21 Jun – 4 Jul,1 stop,16 hrs 5 min,"JP¥142,597"
GMP,Sydney,27 Jun – 10 Jul,1 stop,22 hrs 20 min,"JP¥100,776"
GMP,Las Vegas,20 Jun – 3 Jul,2 stops,22 hrs 35 min,"JP¥212,445"
GMP,Lisbon,10–24 Jun,2 stops,33 hrs 55 min,"JP¥262,640"
GMP,Berlin,27 Jun – 10 Jul,2 stops,31 hrs,"JP¥293,365"
GMP,Prague,20 Jun – 4 Jul,2 stops,22 hrs 35 min,"JP¥273,657"
GMP,Bangkok,13–26 Jun,1 stop,10 hrs 40 min,"JP¥159,698"
GMP,Miami,30 Jun – 16 Jul,2 stops,43 hrs 56 min,"JP¥239,557"
GMP,Florence,1–14 Jun,2 stops,33 hrs 40 min,"JP¥447,294"
GMP,Vienna,6–19 Jun,1 stop,29 hrs 30 min,"JP¥206,722"
GMP,Madrid,24 Jun – 10 Jul,2 stops,22 hrs 45 min,"JP¥339,351"
GMP,Boston,27 Jun – 10 Jul,2 stops,25 hrs 5 min,"JP¥308,784"
GMP,Athens,24 Jun – 10 Jul,2 stops,46 hrs,"JP¥513,214"
GMP,Budapest,21 Jun – 4 Jul,2 stops,23 hrs 5 min,"JP¥341,699"
GMP,Seattle,23 Jun – 8 Jul,1 stop,22 hrs 45 min,"JP¥145,328"
GMP,San Diego,13–26 Jun,2 stops,32 hrs 12 min,"JP¥184,011"
GMP,İstanbul,21 Jun – 6 Jul,2 stops,17 hrs 20 min,"JP¥478,290"
GMP,New Orleans,1–14 Jun,2 stops,28 hrs 20 min,"JP¥400,473"
GMP,Dublin,7–21 Jun,2 stops,22 hrs 35 min,"JP¥311,527"
GMP,Melbourne,7–22 Jun,2 stops,23 hrs 55 min,"JP¥211,530"
GMP,Toronto,24 Jun – 9 Jul,2 stops,25 hrs 12 min,"JP¥253,588"
GMP,Copenhagen,20 Jun – 3 Jul,2 stops,21 hrs 25 min,"JP¥341,157"
SYD,Los Angeles,29 Aug – 4 Sept,1 stop,24 hrs 20 min,"JP¥171,232"
SYD,Hong Kong,29 Aug – 4 Sept,1 stop,17 hrs 35 min,"JP¥225,249"
SYD,London,17–26 Jun,2 stops,43 hrs 20 min,"JP¥247,434"
SYD,Vancouver,31 Oct – 9 Nov,1 stop,20 hrs 20 min,"JP¥172,599"
SYD,San Francisco,22–28 Aug,1 stop,22 hrs 5 min,"JP¥171,232"
SYD,Tokyo,6–12 Jun,Non-stop,9 hrs 45 min,"JP¥119,321"
SYD,Amsterdam,18–26 May,2 stops,33 hrs 20 min,"JP¥284,481"
SYD,Las Vegas,26 Oct – 4 Nov,2 stops,29 hrs 9 min,"JP¥208,047"
